ZipCode,EstimatedCombinedRate,TaxRegionName
00501,0.0875,"BROOKHAVEN, NY"
00544,0.0875,"BROOKHAVEN, NY"
00601,0.115,"ADJUNTAS CO, PR"
00602,0.115,"AGUADA CO, PR"
00603,0.115,"AGUADILLA CO, PR"
00604,0.115,"AGUADILLA CO, PR"
00605,0.115,"AGUADILLA CO, PR"
00606,0.115,"MARICAO CO, PR"
00610,0.115,"ANASCO CO, PR"
00611,0.115,"UTUADO CO, PR"
00612,0.115,"ARECIBO CO, PR"
00613,0.115,"ARECIBO CO, PR"
00614,0.115,"ARECIBO CO, PR"
00616,0.115,"ARECIBO CO, PR"
00617,0.115,"BARCELONETA CO, PR"
00622,0.115,"CABO ROJO CO, PR"
00623,0.115,"CABO ROJO CO, PR"
00624,0.115,"GUAYANILLA CO, PR"
00627,0.115,"CAMUY CO, PR"
00631,0.115,"LARES CO, PR"
00637,0.115,"SABANA GRANDE CO, PR"
00638,0.115,"CIALES CO, PR"
00641,0.115,"PONCE CO, PR"
00646,0.115,"DORADO CO, PR"
00647,0.115,"GUANICA CO, PR"
00650,0.115,"ARECIBO CO, PR"
00652,0.115,"ARECIBO CO, PR"
00653,0.115,"GUANICA CO, PR"
00656,0.115,"GUAYANILLA CO, PR"
00659,0.115,"HATILLO CO, PR"
00660,0.115,"HORMIGUEROS CO, PR"
00662,0.115,"ISABELA CO, PR"
00664,0.115,"JAYUYA CO, PR"
00667,0.115,"LAJAS CO, PR"
00669,0.115,"LARES CO, PR"
00670,0.115,"LAS MARIAS CO, PR"
00674,0.115,"MANATI CO, PR"
00676,0.115,"MOCA CO, PR"
00677,0.115,"RINCON CO, PR"
00678,0.115,"QUEBRADILLAS CO, PR"
00680,0.115,"MAYAGUEZ CO, PR"
00681,0.115,"MAYAGUEZ CO, PR"
00682,0.115,"MAYAGUEZ CO, PR"
00683,0.115,"SAN GERMAN CO, PR"
00685,0.115,"SAN SEBASTIAN CO, PR"
00687,0.115,"MOROVIS CO, PR"
00688,0.115,"ARECIBO CO, PR"
00690,0.115,"AGUADILLA CO, PR"
00692,0.115,"VEGA ALTA CO, PR"
00693,0.115,"VEGA BAJA CO, PR"
00694,0.115,"VEGA BAJA CO, PR"
00698,0.115,"YAUCO CO, PR"
00703,0.115,"AGUAS BUENAS CO, PR"
00704,0.115,"SALINAS CO, PR"
00705,0.115,"AIBONITO CO, PR"
00707,0.115,"MAUNABO CO, PR"
00714,0.115,"ARROYO CO, PR"
00715,0.115,"PONCE CO, PR"
00716,0.115,"JUANA DIAZ CO, PR"
00717,0.115,"PONCE CO, PR"
00718,0.115,"NAGUABO CO, PR"
00719,0.115,"NARANJITO CO, PR"
00720,0.115,"MOROVIS CO, PR"
00721,0.115,"RIO GRANDE CO, PR"
00723,0.115,"GUAYAMA CO, PR"
00725,0.115,"CAGUAS CO, PR"
00726,0.115,"CAGUAS CO, PR"
00727,0.115,"CAGUAS CO, PR"
00728,0.115,"PONCE CO, PR"
00729,0.115,"CANOVANAS CO, PR"
00730,0.115,"JUANA DIAZ CO, PR"
00731,0.115,"PONCE CO, PR"
00732,0.115,"PONCE CO, PR"
00733,0.115,"PONCE CO, PR"
00734,0.115,"PONCE CO, PR"
00735,0.115,"CEIBA CO, PR"
00736,0.115,"CAYEY CO, PR"
00737,0.115,"CAYEY CO, PR"
00738,0.115,"FAJARDO CO, PR"
00739,0.115,"CAGUAS CO, PR"
00740,0.115,"FAJARDO CO, PR"
00741,0.115,"HUMACAO CO, PR"
00742,0.115,"CEIBA CO, PR"
00744,0.115,"NAGUABO CO, PR"
00745,0.115,"CANOVANAS CO, PR"
00751,0.115,"SALINAS CO, PR"
00754,0.115,"CAGUAS CO, PR"
00757,0.115,"SANTA ISABEL CO, PR"
00765,0.115,"VIEQUES CO, PR"
00766,0.115,"VILLALBA CO, PR"
00767,0.115,"YABUCOA CO, PR"
00769,0.115,"MAYAGUEZ CO, PR"
00771,0.115,"LAS PIEDRAS CO, PR"
00772,0.115,"LOIZA CO, PR"
00773,0.115,"LUQUILLO CO, PR"
00775,0.115,"CULEBRA CO, PR"
00777,0.115,"JUNCOS CO, PR"
00778,0.115,"CATANO CO, PR"
00780,0.115,"PONCE CO, PR"
00782,0.115,"COMERIO CO, PR"
00783,0.115,"COROZAL CO, PR"
00784,0.115,"GUAYAMA CO, PR"
00785,0.115,"GUAYAMA CO, PR"
00786,0.115,"AIBONITO CO, PR"
00791,0.115,"HUMACAO CO, PR"
00792,0.115,"HUMACAO CO, PR"
00794,0.115,"BARRANQUITAS CO, PR"
00795,0.115,"JUANA DIAZ CO, PR"
00901,0.115,"SAN JUAN CO, PR"
00902,0.115,"SAN JUAN CO, PR"
00906,0.115,"SAN JUAN CO, PR"
00907,0.115,"SAN JUAN CO, PR"
00908,0.115,"SAN JUAN CO, PR"
00909,0.115,"SAN JUAN CO, PR"
00910,0.115,"SAN JUAN CO, PR"
00911,0.115,"SAN JUAN CO, PR"
00912,0.115,"SAN JUAN CO, PR"
00913,0.115,"SAN JUAN CO, PR"
00914,0.115,"SAN JUAN CO, PR"
00915,0.115,"SAN JUAN CO, PR"
00916,0.115,"SAN JUAN CO, PR"
00917,0.115,"SAN JUAN CO, PR"
00918,0.115,"SAN JUAN CO, PR"
00919,0.115,"SAN JUAN CO, PR"
00920,0.115,"BAYAMON CO, PR"
00921,0.115,"BAYAMON CO, PR"
00922,0.115,"GUAYNABO CO, PR"
00923,0.115,"SAN JUAN CO, PR"
00924,0.115,"CAROLINA CO, PR"
00925,0.115,"SAN JUAN CO, PR"
00926,0.115,"BAYAMON CO, PR"
00927,0.115,"SAN JUAN CO, PR"
00928,0.115,"SAN JUAN CO, PR"
00929,0.115,"SAN JUAN CO, PR"
00931,0.115,"SAN JUAN CO, PR"
00933,0.115,"SAN JUAN CO, PR"
00934,0.115,"BAYAMON CO, PR"
00935,0.115,"SAN JUAN CO, PR"
00936,0.115,"SAN JUAN CO, PR"
00937,0.115,"CAROLINA CO, PR"
00939,0.115,"SAN JUAN CO, PR"
00940,0.115,"SAN JUAN CO, PR"
00949,0.115,"BAYAMON CO, PR"
00950,0.115,"TOA BAJA CO, PR"
00951,0.115,"TOA BAJA CO, PR"
00952,0.115,"TOA BAJA CO, PR"
00953,0.115,"TOA ALTA CO, PR"
00954,0.115,"TOA ALTA CO, PR"
00955,0.115,"SAN JUAN CO, PR"
00956,0.115,"BAYAMON CO, PR"
00957,0.115,"BAYAMON CO, PR"
00958,0.115,"BAYAMON CO, PR"
00959,0.115,"BAYAMON CO, PR"
00960,0.115,"BAYAMON CO, PR"
00961,0.115,"BAYAMON CO, PR"
00962,0.115,"CATANO CO, PR"
00963,0.115,"CATANO CO, PR"
00965,0.115,"GUAYNABO CO, PR"
00966,0.115,"BAYAMON CO, PR"
00968,0.115,"GUAYNABO CO, PR"
00969,0.115,"BAYAMON CO, PR"
00970,0.115,"GUAYNABO CO, PR"
00971,0.115,"GUAYNABO CO, PR"
00975,0.115,"SAN JUAN CO, PR"
00976,0.115,"BAYAMON CO, PR"
00977,0.115,"TRUJILLO ALTO CO, PR"
00978,0.115,"TRUJILLO ALTO CO, PR"
00979,0.115,"CAROLINA CO, PR"
00981,0.115,"CAROLINA CO, PR"
00982,0.115,"CAROLINA CO, PR"
00983,0.115,"CAROLINA CO, PR"
00984,0.115,"CAROLINA CO, PR"
00985,0.115,"CAROLINA CO, PR"
00986,0.115,"CAROLINA CO, PR"
00987,0.115,"CAROLINA CO, PR"
00988,0.115,"CAROLINA CO, PR"
01001,0.0625,"AGAWAM, MA"
01002,0.0625,"LEVERETT, MA"
01003,0.0625,"AMHERST, MA"
01004,0.0625,"AMHERST, MA"
01005,0.0625,"BARRE, MA"
01007,0.0625,"BELCHERTOWN, MA"
01008,0.0625,"BLANDFORD, MA"
01009,0.0625,"PALMER, MA"
01010,0.0625,"HOLLAND, MA"
01011,0.0625,"BLANDFORD, MA"
01012,0.0625,"CHESTERFIELD, MA"
01013,0.0625,"CHICOPEE, MA"
01014,0.0625,"CHICOPEE, MA"
01020,0.0625,"CHICOPEE, MA"
01021,0.0625,"CHICOPEE, MA"
01022,0.0625,"CHICOPEE, MA"
01026,0.0625,"CHESTERFIELD, MA"
01027,0.0625,"EASTHAMPTON, MA"
01028,0.0625,"SPRINGFIELD, MA"
01029,0.0625,"OTIS, MA"
01030,0.0625,"AGAWAM, MA"
01031,0.0625,"HARDWICK, MA"
01032,0.0625,"GOSHEN, MA"
01033,0.0625,"GRANBY, MA"
01034,0.0625,"BLANDFORD, MA"
01035,0.0625,"HADLEY, MA"
01036,0.0625,"MASSACHUSETTS, MA"
01037,0.0625,"HARDWICK, MA"
01038,0.0625,"HATFIELD, MA"
01039,0.0625,"WILLIAMSBURG, MA"
01040,0.0625,"WEST SPRINGFIELD, MA"
